brand_name,car_name,car_source_city_name,official_price,sh_price,transfer_cnt,car_year,car_mileage
比亚迪,秦EV300 尊享型,沈阳,24.59万,3.68万,3,2017年,6.80万公里
宝马,X5 M,北京,201.80万,15.98万,4,2011年,6.72万公里
众泰,2.0T 自动极致之心版,广州,15.18万,3.18万,0,2018年,3.90万公里
雷克萨斯,300e 纯·悦,南昌,36.20万,11.98万,0,2021年,3.24万公里
雪佛兰,RS 330T 自动畅快版,杭州,11.49万,3.88万,0,2019年,4.34万公里
别克,18T 自动互联精英型 国V,广州,13.59万,3.53万,1,2019年,6.40万公里
雪佛兰,530T 自动豪华版,深圳,17.99万,4.68万,0,2017年,8.83万公里
捷豹,2.0T P200 两驱赛旗版,杭州,42.08万,14.50万,0,2020年,4.70万公里
别克,改款 典范 1.5L 自动精英型,南通,12.59万,5.38万,0,2022年,2.88万公里
奔驰,C 260 时尚型 Grand Edition,杭州,39.30万,7.18万,0,2014年,7.02万公里
宝马,118i 运动型,南京,22.58万,6.98万,1,2019年,4.80万公里
大众,2.0TSI 舒适版,杭州,38.48万,5.58万,0,2015年,15.10万公里
别克,15N 手动精英型,常州,11.69万,2.68万,0,2017年,6.25万公里
奔驰,改款 GLK 300 4MATIC 豪华型,无锡,55.80万,8.28万,0,2014年,10.40万公里
雷克萨斯,300e 纯·悦,佛山,36.20万,11.48万,0,2021年,3.56万公里
沃尔沃,B5 智逸豪华版,上海,40.69万,17.98万,0,2022年,3.24万公里
宝马,225i 四门轿跑车 M运动曜夜套装,青岛,28.98万,13.98万,0,2021年,1.52万公里
江汽集团,1.5TGDI 自动自由+,成都,10.28万,4.18万,0,2020年,2.90万公里
宝马,328Li 时尚型,茂名,41.60万,6.68万,1,2013年,12万公里
路虎,240PS PURE版 国VI,青岛,36.58万,13.38万,0,2019年,4.42万公里
日产,经典 1.6XE CVT舒适版 国VI,台州,10.86万,5.52万,0,2019年,1.39万公里
奥迪,35 TFSI 自动舒适型,西安,33.29万,9.99万,0,2016年,9.60万公里
宝马,sDrive18Li 时尚型,东莞,28.38万,10.88万,0,2019年,5.86万公里
宝马,sDrive20Li 领先型,潍坊,30.98万,11.98万,1,2019年,7.90万公里
奔驰,C 260 L 运动版,南京,34.68万,16.25万,1,2019年,4.54万公里
奔驰,改款 GLC 260 4MATIC 豪华型,长春,44.50万,19.03万,0,2018年,4.39万公里
别克,552T 智享型,长春,19.68万,10.06万,0,2022年,1.61万公里
奔驰,GLA 200 动感型,南阳,27.18万,9.36万,1,2017年,6.22万公里
奥迪,45 TFSI 技术型,济南,84.78万,22.20万,0,2017年,12万公里
别克,20T 精英型 国VI,中山,18.28万,8.56万,0,2020年,5.03万公里
奔驰,GLE 400 4MATIC,青岛,93.20万,24.70万,0,2016年,12万公里
Jeep,3.0L 专业导航版,青岛,52.99万,22.80万,0,2021年,3.80万公里
驭胜,2.0T 自动两驱汽油豪华版7座,石家庄,14.26万,4.38万,2,2016年,5.03万公里
奔驰,GLA 200 时尚型,南京,28.88万,11.25万,1,2019年,5.45万公里
本田,2.0L 精英版,东莞,18.98万,7.38万,0,2017年,9.08万公里
宝马,120i M运动曜熠版,南京,23.29万,12.88万,2,2023年,0.91万公里
日产,经典 1.6XE 手动领先版,沈阳,10.23万,3.15万,0,2017年,12.50万公里
大众,1.5L 手动时尚型,郑州,10.78万,4.18万,0,2017年,6.99万公里
别克,20T 精英型 国VI,金华,18.28万,7.88万,0,2020年,6.40万公里
本田,180TURBO CVT舒适版,广州,12.79万,4.98万,0,2017年,9万公里
奥迪,35 TFSI 自动舒适型,上海,33.29万,7.88万,0,2015年,10万公里
马自达,2.5L 蓝天运动版,温州,19.98万,8.88万,0,2020年,5.50万公里
长安,1.5T 卓越型,苏州,11.59万,6.09万,0,2022年,3.80万公里
东风风神,1.5T 超帅潮爸版,苏州,10.39万,4.18万,0,2022年,2.89万公里
捷豹,进取运动版 R-DYNAMIC S,南京,28.80万,15.20万,0,2024年,0.29万公里
奔驰,GLA 200 时尚型,深圳,29.08万,9.28万,1,2017年,6.50万公里
别克,陆上公务舱 652T 豪华型,潍坊,25.89万,19.00万,1,2022年,2.05万公里
名爵,180DVVT CVT青春风尚版,长沙,7.79万,3.45万,0,2020年,4万公里
奔驰,GLK 300 4MATIC 动感型,青岛,41.80万,6.49万,3,2013年,13.80万公里
广汽传祺,270T J10飞人版,苏州,9.83万,5.18万,0,2021年,3.60万公里
丰田,双擎 1.8H E-CVT豪华版,石家庄,14.28万,8.68万,0,2023年,4.25万公里
奥迪,40 TFSI 豪华动感型,深圳,41.98万,25.58万,0,2021年,4.50万公里
领克,2.0T 两驱耀Pro版,柳州,17.98万,7.98万,0,2019年,5.16万公里
现代,1.8L 自动智能型GLS 国V,北京,14.98万,4.80万,1,2017年,8.10万公里
荣威,尊享版,上海,23.98万,1.72万,1,2015年,8.50万公里
广汽传祺,390T 自动星云版,合肥,14.28万,8.68万,0,2022年,2.79万公里
奥迪,40 TFSI 豪华动感型,西安,41.98万,28.99万,0,2022年,2.40万公里
雪佛兰,1.5L 自动欣享版,北京,8.89万,2.85万,1,2018年,6.45万公里
别克,532T 两驱领先型,临沂,18.99万,9.98万,0,2021年,3.24万公里
路虎,249PS R-Dynamic S 性能版 5座,上海,38.28万,16.98万,0,2021年,3.06万公里
宝马,525Li 豪华设计套装,上海,49.96万,11.89万,0,2014年,9.20万公里
比亚迪,1.5T 自动智联精英型 7座,郑州,10.99万,5.33万,1,2018年,3.25万公里
大众,驰,厦门,14.77万,7.18万,2,2020年,4.43万公里
马自达,三厢 1.5L 自动豪华型 国VI,临沂,13.99万,6.78万,1,2019年,4.55万公里
林肯,2.0T 四驱尊雅版,济南,30.28万,15.98万,1,2020年,4.77万公里
宝马,320Li 时尚型,东莞,35.46万,6.98万,0,2013年,13万公里
本田,2.0L SE,昆明,20.28万,4.00万,3,2012年,11万公里
宝马,xDrive28i M运动套装,北京,42.58万,27.68万,0,2021年,2.72万公里
荣威,600天幕尊享版,上海,16.58万,8.10万,0,2023年,1.96万公里
奔驰,C 260 L 运动版,北京,34.68万,15.50万,0,2019年,7.80万公里
奥迪,TFSI 舒适型,西安,44.66万,10.80万,0,2015年,17.36万公里
宝马,320i时尚型,南宁,33.90万,5.38万,0,2012年,18万公里
日产,2.0L XV Prem 豪华版,哈尔滨,16.88万,7.56万,0,2021年,4.10万公里
大众,1.8TSI DSG御尊版,北京,23.98万,4.80万,0,2013年,15万公里
奔驰,GLE 400 4MATIC 臻藏版,深圳,89.88万,32.80万,0,2018年,5.08万公里
领克,03+ 2.0TD 自动驭风版,温州,19.88万,9.68万,0,2020年,2万公里
大众,230TSI DSG两驱时尚型,绍兴,14.98万,7.30万,0,2021年,2.80万公里
现代,1.8L 自动智能型GLS 国V,北京,14.98万,4.83万,1,2017年,6.15万公里
保时捷,Macan 2.0T,杭州,55.80万,15.80万,1,2014年,8.02万公里
凯迪拉克,改款 28T 两驱领先型,上海,28.97万,11.79万,0,2020年,3万公里
大众,1.5L 自动舒适型,长春,13.18万,5.33万,0,2018年,3.94万公里
